outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI,diff,diff_CI,diff_ECI
"Non-COVID-19
death",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.19,(0.11-0.31), 81.1,(68.9-88.5),0.19 (0.11-0.31), 81.1 (68.9-88.5),-0.20,(-0.72-0.32),-0.20 (-0.72-0.32)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.17,(0.13-0.24), 82.7,(76.4-87.4),0.17 (0.13-0.24), 82.7 (76.4-87.4),-0.18,(-0.51-0.15),-0.18 (-0.51-0.15)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.18,(0.07-0.45), 81.7,(55.0-92.5),0.18 (0.07-0.45), 81.7 (55.0-92.5),-0.24,(-1.17-0.69),-0.24 (-1.17-0.69)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.19,(0.10-0.39), 80.5,(60.5-90.4),0.19 (0.10-0.39), 80.5 (60.5-90.4),-0.42,(-1.15-0.31),-0.42 (-1.15-0.31)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.24,(0.15-0.38), 76.2,(62.2-85.1),0.24 (0.15-0.38), 76.2 (62.2-85.1),-0.10,(-0.59-0.39),-0.10 (-0.59-0.39)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.24,(0.15-0.37), 76.2,(63.3-84.6),0.24 (0.15-0.37), 76.2 (63.3-84.6),-0.01,(-0.47-0.45),-0.01 (-0.47-0.45)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.15,(0.09-0.25), 85.2,(74.8-91.3),0.15 (0.09-0.25), 85.2 (74.8-91.3),-0.40,(-0.95-0.16),-0.40 (-0.95-0.16)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.19,(0.11-0.31), 81.5,(69.5-88.8),0.19 (0.11-0.31), 81.5 (69.5-88.8),-0.18,(-0.70-0.35),-0.18 (-0.70-0.35)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.17,(0.13-0.24), 82.8,(76.4-87.5),0.17 (0.13-0.24), 82.8 (76.4-87.5),-0.18,(-0.51-0.16),-0.18 (-0.51-0.16)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.14,(0.05-0.39), 86.3,(60.9-95.2),0.14 (0.05-0.39), 86.3 (60.9-95.2),-0.56,(-1.64-0.52),-0.56 (-1.64-0.52)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.18,(0.08-0.37), 82.5,(62.8-91.7),0.18 (0.08-0.37), 82.5 (62.8-91.7),-0.59,(-1.37-0.19),-0.59 (-1.37-0.19)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.20,(0.12-0.33), 79.8,(67.1-87.7),0.20 (0.12-0.33), 79.8 (67.1-87.7),-0.30,(-0.82-0.21),-0.30 (-0.82-0.21)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.26,(0.17-0.40), 74.3,(60.2-83.4),0.26 (0.17-0.40), 74.3 (60.2-83.4),0.02,(-0.44-0.49),0.02 (-0.44-0.49)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.13,(0.08-0.23), 86.6,(76.7-92.3),0.13 (0.08-0.23), 86.6 (76.7-92.3),-0.55,(-1.13-0.04),-0.55 (-1.13-0.04)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.19,(0.12-0.32), 80.7,(68.1-88.4),0.19 (0.12-0.32), 80.7 (68.1-88.4),-0.13,(-0.66-0.40),-0.13 (-0.66-0.40)
"Non-COVID-19
death",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.17,(0.13-0.24), 82.6,(75.9-87.4),0.17 (0.13-0.24), 82.6 (75.9-87.4),-0.20,(-0.55-0.14),-0.20 (-0.55-0.14)
